sample_id,n_pre,n_post,pct_kept,median_umi_post,median_genes_post,pct_mt_median_post,pct_hemo_median_post,pct_mt_max,pct_hemo_max,n_genes_lo,n_genes_hi,total_counts_lo,total_counts_hi,min_counts_floor,min_genes_floor,n_mads,cohort_outlier,cohort_outlier_reason
MES1.1,19051,18132,95.18,7260.0,3324.0,0.06045036017894745,0.050323959439992905,1.0,5.0,0.0,8143.0,571.8052978515625,84689.59375,500,200,5,False,
MES1.2,22696,21522,94.83,4065.0,2325.0,0.06764756143093109,0.0863201767206192,1.0,5.0,0.0,7316.0,155.6156005859375,106704.4453125,500,200,5,False,
MES1.3,11068,10295,93.02,10583.0,4170.0,0.052219320088624954,0.11966127157211304,1.0,5.0,0.0,10365.5,644.1088256835938,158158.796875,500,200,5,False,
MES1.4,2934,2838,96.73,6075.5,2948.5,0.06112366542220116,0.07800312340259552,1.0,5.0,0.0,7619.0,502.32867431640625,70714.6328125,500,200,5,False,
MES2.1,2029,1886,92.95,15378.0,5038.5,0.06730245053768158,0.10115943849086761,1.0,5.0,0.0,11303.0,1135.79248046875,186175.765625,500,200,5,False,
MES2.2,4793,4500,93.89,8027.5,3588.0,0.07494567334651947,0.10486577451229095,1.0,5.0,0.0,9503.0,430.12811279296875,138775.109375,500,200,5,False,
MES2.3,33590,31317,93.23,4208.0,2435.0,0.08603383600711823,0.13962146639823914,1.0,5.0,0.0,6788.0,252.226318359375,62616.18359375,500,200,5,False,
MES2.4,3858,3712,96.22,3293.5,2015.5,0.08183306455612183,0.06825939565896988,1.0,5.0,0.0,6722.0,99.06687927246094,104387.40625,500,200,5,False,
MES4.4,5339,5121,95.92,8212.0,3640.0,0.06028333306312561,0.11989561468362808,1.0,5.0,0.0,10423.0,341.15838623046875,183000.65625,500,200,5,False,
CES1.2,38448,37143,96.61,4294.0,2469.0,0.08423586189746857,0.09416195750236511,1.0,5.0,0.0,7945.0,138.64854431152344,128672.78125,500,200,5,False,
CES1.3,40689,38945,95.71,6573.0,3263.0,0.05953899770975113,0.11299435049295425,1.0,5.0,0.0,8422.0,460.88983154296875,88678.171875,500,200,5,False,
CES2.2,33605,32307,96.14,6791.0,3302.0,0.02517412044107914,0.11664074659347534,1.0,5.0,0.0,8282.0,557.7023315429688,77800.140625,500,200,5,False,
CES2.3,45735,43880,95.94,6932.0,3432.0,0.09823785722255707,0.09137704968452454,1.0,5.0,0.0,8934.0,478.45880126953125,93821.1953125,500,200,5,False,
CES3.2,34219,32322,94.46,8565.0,3788.5,0.05411011725664139,0.1173999160528183,1.0,5.0,0.0,8556.0,901.3566284179688,75298.515625,500,200,5,False,
CES4.1,18243,17106,93.77,3679.5,2327.0,0.12116505205631256,0.29176345467567444,1.0,5.0,0.0,7206.0,159.00938415527344,77742.8125,500,200,5,False,
LSP1.4,15414,15228,98.79,9527.5,3814.5,0.03840614855289459,0.15472862124443054,1.0,5.0,0.0,9009.0,761.5755615234375,116597.8125,500,200,5,False,
LSP1.7,23367,22856,97.81,3781.0,2144.0,0.08746674656867981,0.13791519403457642,1.0,5.0,0.0,6421.0,199.65147399902344,74101.2734375,500,200,5,False,
LSP1.3,42873,42717,99.64,9429.0,3830.0,0.052250806242227554,0.18092529475688934,1.0,5.0,0.0,9589.0,661.2509765625,134161.828125,500,200,5,False,
LSP2.3,33656,33418,99.29,7043.5,3253.0,0.05490633845329285,0.12622898817062378,1.0,5.0,0.0,8598.0,475.4883728027344,104575.53125,500,200,5,False,
LCP1.3,23753,23590,99.31,5734.5,2859.0,0.061274513602256775,0.13620886206626892,1.0,5.0,0.0,7703.0,352.9706726074219,93501.0625,500,200,5,False,
LCP2.3,34739,34159,98.33,4774.0,2571.0,0.09121313691139221,0.2247912585735321,1.0,5.0,0.0,8193.0,160.82969665527344,145352.609375,500,200,5,False,
LCP2.2,32997,32549,98.64,6049.0,3019.0,0.07042253017425537,0.14552189409732819,1.0,5.0,0.0,8131.0,386.7850341796875,96458.1875,500,200,5,False,
LCP2.4,28055,27408,97.69,4595.0,2526.5,0.08394191414117813,0.11743981391191483,1.0,5.0,0.0,7649.0,205.84915161132812,106201.90625,500,200,5,False,
